YEAR,DATE,TIME,STREET1,ROAD_CLASS,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,PASSENGER,SPEEDING,REDLIGHT,ALCOHOL,DISABILITY,Record_ID,division_id,district_id
2017,2017/08/28,1135,215 LONSDALE  RD,Minor Arterial,43.690566,-79.403644,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Motorcycle Driver,75 to 79,Major,False,False,True,True,False,False,False,False,False,False,13001,div1,district1
2017,2017/08/28,1135,215 LONSDALE  RD,Minor Arterial,43.690566,-79.403644,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,55 to 59,None,False,False,True,True,False,False,False,False,False,False,13002,div1,district1
2017,2017/09/05,1735,MILLWOOD RD,Local,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,True,False,True,False,False,True,False,False,False,False,13015,div1,district1
2017,2017/09/05,1735,MILLWOOD RD,Local,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,40 to 44,None,True,False,True,False,False,True,False,False,False,False,13016,div1,district1
2017,2017/09/05,1735,MILLWOOD RD,Local,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,None,True,False,True,False,False,True,False,False,False,False,13017,div1,district1
2017,2017/09/05,1735,MILLWOOD RD,Local,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,5 to 9,Major,True,False,True,False,False,True,False,False,False,False,13018,div1,district1
2017,2017/03/08,36,YONGE ST,Major Arterial,43.692683,-79.395435,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,30 to 34,Major,False,False,True,False,False,False,False,False,True,False,13181,div1,district1
2017,2017/06/29,248,196 DUPONT ST,Major Arterial,43.675368,-79.404186,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,True,False,True,False,False,False,False,False,False,False,13299,div1,district1
2017,2017/06/29,248,196 DUPONT ST,Major Arterial,43.675368,-79.404186,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,True,False,True,False,False,False,False,False,False,False,13313,div1,district1
2017,2017/06/08,1030,DAVENPORT RD,Major Arterial,43.674872,-79.395358,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Truck Driver,35 to 39,None,False,True,False,False,True,False,False,False,False,False,13494,div1,district1
2017,2017/06/08,1030,DAVENPORT RD,Major Arterial,43.674872,-79.395358,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,False,True,False,False,True,False,False,False,False,False,13502,div1,district1
