YEAR,DATE,TIME,STREET1,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,PASSENGER,SPEEDING,REDLIGHT,ALCOHOL,DISABILITY,DIVISION,Record_ID
2017,2017/08/28,1135,215 LONSDALE  RD,Minor Arterial,Toronto and East York,43.690566,-79.403644,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Motorcycle Driver,75 to 79,Major,False,False,True,True,False,False,False,False,False,False,D53,13001
2017,2017/08/28,1135,215 LONSDALE  RD,Minor Arterial,Toronto and East York,43.690566,-79.403644,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,55 to 59,None,False,False,True,True,False,False,False,False,False,False,D53,13002
2017,2017/08/28,1845,OSSINGTON  AVE,Minor Arterial,Toronto and East York,43.658473,-79.424274,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,30 to 34,Major,False,False,True,True,False,False,False,False,False,False,D14,13003
2017,2017/08/28,1845,OSSINGTON  AVE,Minor Arterial,Toronto and East York,43.658473,-79.424274,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,False,False,True,True,False,False,False,False,False,False,D14,13004
2017,2017/08/28,2010,RENFORTH DR,Major Arterial,Etobicoke York,43.676356,-79.593196,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Major,False,False,True,False,False,False,False,False,False,False,D23,13005
2017,2017/08/30,846,FINCH AVE W,Major Arterial,Etobicoke York,43.734027,-79.609866,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,60 to 64,Minor,False,False,True,False,False,True,False,False,False,False,D23,13006
2017,2017/08/30,846,FINCH AVE W,Major Arterial,Etobicoke York,43.734027,-79.609866,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,None,False,False,True,False,False,True,False,False,False,False,D23,13007
2017,2017/08/30,846,FINCH AVE W,Major Arterial,Etobicoke York,43.734027,-79.609866,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,Major,False,False,True,False,False,True,False,False,False,False,D23,13008
2017,2017/08/30,1703,WELLESLEY ST W,Major Arterial,Toronto and East York,43.663512,-79.390605,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,40 to 44,Major,False,True,False,False,True,False,False,False,False,False,D52,13009
2017,2017/08/30,1703,WELLESLEY ST W,Major Arterial,Toronto and East York,43.663512,-79.390605,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Truck Driver,55 to 59,None,False,True,False,False,True,False,False,False,False,False,D52,13010
2017,2017/08/31,2141,YONGE ST,Major Arterial,North York,43.73429,-79.404529,Intersection,At Intersection,Traffic Controller,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,False,True,True,False,False,False,False,False,False,False,D32,13011
2017,2017/08/31,2141,YONGE ST,Major Arterial,North York,43.73429,-79.404529,Intersection,At Intersection,Traffic Controller,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,False,True,True,False,False,False,False,False,False,False,D32,13012
2017,2017/09/05,30,715 MILNER AVE,Minor Arterial,Scarborough,43.796034,-79.210155,Mid-Block,At/Near Private Drive,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,30 to 34,Major,False,False,True,False,False,True,False,False,False,False,D42,13013
2017,2017/09/05,30,715 MILNER AVE,Minor Arterial,Scarborough,43.796034,-79.210155,Mid-Block,At/Near Private Drive,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,15 to 19,Minor,False,False,True,False,False,True,False,False,False,False,D42,13014
2017,2017/09/05,1735,MILLWOOD RD,Local,Toronto and East York,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,True,False,True,False,False,True,False,False,False,False,D53,13015
2017,2017/09/05,1735,MILLWOOD RD,Local,Toronto and East York,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,40 to 44,None,True,False,True,False,False,True,False,False,False,False,D53,13016
2017,2017/09/05,1735,MILLWOOD RD,Local,Toronto and East York,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,None,True,False,True,False,False,True,False,False,False,False,D53,13017
2017,2017/09/05,1735,MILLWOOD RD,Local,Toronto and East York,43.6999,-79.393703,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,5 to 9,Major,True,False,True,False,False,True,False,False,False,False,D53,13018
2017,2017/09/05,1832,CODSELL AVE,Local,North York,43.756312,-79.446689,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,True,False,True,False,False,False,False,False,False,False,D32,13019
2017,2017/09/05,1832,CODSELL AVE,Local,North York,43.756312,-79.446689,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,70 to 74,None,True,False,True,False,False,False,False,False,False,False,D32,13020
2017,2017/09/06,2040,GERRARD ST E,Minor Arterial,Toronto and East York,43.685328,-79.293407,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,False,True,True,False,False,False,False,False,False,False,D55,13021
2017,2017/09/06,2040,GERRARD ST E,Minor Arterial,Toronto and East York,43.685328,-79.293407,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,False,True,True,False,False,False,False,False,False,False,D55,13022
2017,2017/09/06,2217,JARVIS ST,Major Arterial,Toronto and East York,43.656638,-79.374393,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,True,False,True,False,False,False,False,False,False,False,D51,13023
2017,2017/09/06,2217,JARVIS ST,Major Arterial,Toronto and East York,43.656638,-79.374393,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,True,False,True,False,False,False,False,False,False,False,D51,13024
2017,2017/09/07,1538,EGLINTON AVE E,Major Arterial,Scarborough,43.735778,-79.252017,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,25 to 29,Major,False,False,True,False,True,True,False,False,False,False,D41,13025
2017,2017/09/07,1538,EGLINTON AVE E,Major Arterial,Scarborough,43.735778,-79.252017,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Truck Driver,60 to 64,None,False,False,True,False,True,True,False,False,False,False,D41,13026
2017,2017/09/07,1538,EGLINTON AVE E,Major Arterial,Scarborough,43.735778,-79.252017,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,Major,False,False,True,False,True,True,False,False,False,False,D41,13027
2017,2017/09/08,1505,BALLIOL ST,Major Arterial,North York,43.701991,-79.373752,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,False,True,True,False,False,False,False,False,False,False,D53,13028
2017,2017/09/08,1505,BALLIOL ST,Major Arterial,North York,43.701991,-79.373752,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,False,True,True,False,False,False,False,False,False,False,D53,13029
2017,2017/09/09,1221,MC CAUL ST,Major Arterial,Toronto and East York,43.650122,-79.389713,Intersection,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,45 to 49,Major,False,False,True,True,False,False,False,False,False,False,D52,13030
2017,2017/09/09,1221,MC CAUL ST,Major Arterial,Toronto and East York,43.650122,-79.389713,Intersection,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,15 to 19,None,False,False,True,True,False,False,False,False,False,False,D52,13031
2017,2017/09/12,844,COSBURN AVE,Minor Arterial,Toronto and East York,43.691332,-79.340617,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Truck Driver,45 to 49,None,False,True,False,False,True,False,False,False,False,False,D55,13032
2017,2017/09/12,844,COSBURN AVE,Minor Arterial,Toronto and East York,43.691332,-79.340617,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,False,True,False,False,True,False,False,False,False,False,D55,13033
